# Онтология аттракторов человеческого организма с количественными оценками
1.	Точечные аттракторы (всего: 4000-5000)
1.4.1.2.1.3.1.2.	Плазматические клетки (2-3)
1.4.1.2.1.3.1.3.	В-клетки памяти (2-2)
1.4.1.2.1.3.2.	Антительный ответ (5-7)
1.4.1.2.1.3.2.1.	IgG-опосредованные реакции (2-3)
1.4.1.2.1.3.2.2.	IgA-опосредованные реакции (2-2)
1.4.1.2.1.3.2.3.	Другие классы антител (1-2)
1.4.1.2.1.3.3.	Эффекторные механизмы (4-6)
1.4.1.2.1.3.3.1.	Комплемент-зависимые реакции (2-2)
1.4.1.2.1.3.3.2.	Опсонизация (1-2)
1.4.1.2.1.3.3.3.	Нейтрализация антигенов (1-2)
1.4.1.2.2.	Репаративные (30-40)
1.4.1.2.2.1.	Регенерация тканей (10-15)
1.4.1.2.2.1.1.	Клеточная регенерация (4-6)
1.4.1.2.2.1.1.1.	Пролиферативные процессы (2-3)
1.4.1.2.2.1.1.2.	Клеточная миграция (2-3)
1.4.1.2.2.1.2.	Матриксная регенерация (3-4)
1.4.1.2.2.1.2.1.	Внеклеточный матрикс (1-2)
1.4.1.2.2.1.2.2.	Сосудистое обеспечение (2-2)
1.4.1.2.2.1.3.	Функциональное восстановление (2-3)
1.4.1.2.2.1.3.1.	Структурная репарация (1-2)
1.4.1.2.2.1.3.2.	Функциональная реституция (1-1)
1.4.1.2.2.2.	Фиброзирование (10-15)
1.4.1.2.2.2.1.	Клеточные механизмы (4-6)
1.4.1.2.2.2.1.1.	Миофибробластная трансформация (2-3)
1.4.1.2.2.2.1.2.	Пролиферация фибробластов (2-3)
1.4.1.2.2.2.2.	Матриксное ремоделирование (3-4)
1.4.1.2.2.2.2.1.	Избыточное накопление коллагена (1-2)
1.4.1.2.2.2.2.2.	Структурные изменения соединительной ткани (2-2)
1.4.1.2.2.2.3.	Воспалительные процессы (2-3)
1.4.1.2.2.2.3.1.	Цитокиновая регуляция (1-2)
1.4.1.2.2.2.3.2.	Иммунное реагирование (1-1)
1.4.1.2.2.3.	Ангиогенез (10-10)
1.4.1.2.2.3.1.	Клеточная активация (4-4)
1.4.1.2.2.3.1.1.	Активация эндотелиальных клеток (2-2)
1.4.1.2.2.3.1.2.	Пролиферация эндотелиоцитов (2-2)
1.4.1.2.2.3.2.	Формирование сосудистой сети (3-3)
1.4.1.2.2.3.2.1.	Почкование и миграция (1-1)
1.4.1.2.2.3.2.2.	Трубчатая организация (1-1)
1.4.1.2.2.3.2.3.	Стабилизация сосудистой структуры (1-1)
1.4.1.2.2.3.3.	Молекулярная регуляция (3-3)
1.4.1.2.2.3.3.1.	Факторы роста (1-1)
1.4.1.2.2.3.3.2.	Сосудистые сигнальные молекулы (1-1)
1.4.1.2.2.3.3.3.	Протеолитические ферменты (1-1)
1.4.2.	Функциональные состояния органов (200-250)
1.4.2.1.	Базальные функциональные состояния (120-150)
1.4.2.1.1.	Основной метаболизм (70-90)
1.4.2.1.1.1.	Энергетическое обеспечение (25-30)
1.4.2.1.1.1.1.	Метаболические пути генерации энергии (10-12)
1.4.2.1.1.1.1.1.	Гликолиз (3-4)
1.4.2.1.1.1.1.2.	Окислительное фосфорилирование (4-5)
1.4.2.1.1.1.1.3.	Альтернативные метаболические циклы (3-3)
1.4.2.1.1.1.2.	Субстратное энергообеспечение (8-10)
1.4.2.1.1.1.2.1.	Утилизация углеводов (3-4)
1.4.2.1.1.1.2.2.	Липидный метаболизм (3-3)
1.4.2.1.1.1.2.3.	Белковый метаболизм (2-3)
1.4.2.1.1.1.3.	Регуляторные механизмы (5-6)
1.4.2.1.1.1.3.1.	Гормональная регуляция (2-3)
1.4.2.1.1.1.3.2.	Внутриклеточная сигнализация (2-2)
1.4.2.1.1.1.3.3.	Энергетический гомеостаз (1-1)
1.4.2.1.1.2.	Синтетические процессы (25-30)
1.4.2.1.1.2.1.	Белковый синтез (8-10)
1.4.2.1.1.2.1.1.	Трансляция (3-4)
1.4.2.1.1.2.1.2.	Пост-трансляционные модификации (3-3)
1.4.2.1.1.2.1.3.	Фолдинг белков (2-3)
1.4.2.1.1.2.2.	Синтез нуклеиновых кислот (6-8)
1.4.2.1.1.2.2.1.	Репликация ДНК (2-3)
1.4.2.1.1.2.2.2.	Транскрипция (2-3)
1.4.2.1.1.2.2.3.	Репарация нуклеиновых кислот (2-2)
1.4.2.1.1.2.3.	Липидный и углеводный синтез (7-9)
1.4.2.1.1.2.3.1.	Биосинтез липидов (3-4)
1.4.2.1.1.2.3.2.	Гликогенез (2-3)
1.4.2.1.1.2.3.3.	Синтез сложных углеводов (2-2)
1.4.2.1.1.2.4.	Регуляторные механизмы синтеза (3-3)
1.4.2.1.1.2.4.1.	Генетическая регуляция (1-1)
1.4.2.1.1.2.4.2.	Метаболическая координация (1-1)
1.4.2.1.1.2.4.3.	Энергетический контроль (1-1)
1.4.2.1.1.3.	Катаболические процессы (20-30)
1.4.2.1.1.3.1.	Белковый катаболизм (6-8)
1.4.2.1.1.3.1.1.	Протеолиз (2-3)
1.4.2.1.1.3.1.2.	Деградация денатурированных белков (2-3)
1.4.2.1.1.3.1.3.	Убиквитин-протеасомная система (2-2)
1.4.2.1.1.3.2.	Углеводный катаболизм (5-7)
1.4.2.1.1.3.2.1.	Гликолиз (2-3)
1.4.2.1.1.3.2.2.	Распад гликогена (2-2)
1.4.2.1.1.3.2.3.	Глюконеогенез (1-2)
1.4.2.1.1.3.3.	Липидный катаболизм (5-7)
1.4.2.1.1.3.3.1.	Окисление жирных кислот (2-3)
1.4.2.1.1.3.3.2.	Липолиз (2-2)
1.4.2.1.1.3.3.3.	Кетогенез (1-2)
1.4.2.1.1.3.4.	Регуляторные механизмы катаболизма (3-4)
1.4.2.1.1.3.4.1.	Гормональная регуляция (1-2)
1.4.2.1.1.3.4.2.	Метаболический контроль (1-1)
1.4.2.1.1.3.4.3.	Энергетический баланс (1-1)
1.4.2.1.2.	Поддержание структуры (50-60)
1.4.2.1.2.1.	Матриксный обмен (20-20)
1.4.2.1.2.1.1.	Синтез компонентов внеклеточного матрикса (7-7)
1.4.2.1.2.1.1.1.	Коллагеновый синтез (2-2)
1.4.2.1.2.1.1.2.	Эластиновый синтез (2-2)
1.4.2.1.2.1.1.3.	Протеогликановый синтез (3-3)
1.4.2.1.2.1.2.	Деградация матриксных компонентов (6-6)
1.4.2.1.2.1.2.1.	Матриксные металлопротеиназы (2-2)
1.4.2.1.2.1.2.2.	Протеолитическая деградация (2-2)
1.4.2.1.2.1.2.3.	Рециклинг матриксных белков (2-2)
1.4.2.1.2.1.3.	Ремоделирование внеклеточного матрикса (4-4)
1.4.2.1.2.1.3.1.	Пространственная реорганизация (2-2)
1.4.2.1.2.1.3.2.	Адаптивные структурные изменения (2-2)
1.4.2.1.2.1.4.	Регуляторные механизмы (3-3)
1.4.2.1.2.1.4.1.	Клеточная сигнализация (1-1)
1.4.2.1.2.1.4.2.	Молекулярный контроль (1-1)
1.4.2.1.2.1.4.3.	Метаболическая координация (1-1)
1.4.2.1.2.2.	Клеточное обновление (15-20)
1.4.2.1.2.2.1.	Клеточная пролиферация (5-7)
1.4.2.1.2.2.1.1.	Стволовые клетки (2-3)
1.4.2.1.2.2.1.2.	Клеточное деление (3-4)
1.4.2.1.2.2.2.	Клеточная дифференцировка (4-5)
1.4.2.1.2.2.2.1.	Направленная дифференцировка (2-2)
1.4.2.1.2.2.2.2.	Специализация клеточных типов (2-3)
1.4.2.1.2.2.3.	Апоптоз и элиминация (3-4)
1.4.2.1.2.2.3.1.	Программируемая клеточная смерть (2-2)
1.4.2.1.2.2.3.2.	Удаление поврежденных клеток (1-2)
1.4.2.1.2.2.4.	Регуляторные механизмы (2-3)
1.4.2.1.2.2.4.1.	Генетический контроль (1-1)
1.4.2.1.2.2.4.2.	Эпигенетическая регуляция (1-2)
1.4.2.1.2.3.	Васкулярная организация (15-20)
1.4.2.1.2.3.1.	Формирование сосудистой сети (5-7)
1.4.2.1.2.3.1.1.	Ангиогенез (2-3)
1.4.2.1.2.3.1.2.	Сосудистое почкование (3-4)
1.4.2.1.2.3.2.	Структурная организация сосудов (4-5)
1.4.2.1.2.3.2.1.	Эндотелиальная архитектура (2-2)
1.4.2.1.2.3.2.2.	Базальная мембрана (2-3)
1.4.2.1.2.3.3.	Функциональная адаптация сосудов (3-4)
1.4.2.1.2.3.3.1.	Вазомоторная регуляция (2-2)
1.4.2.1.2.3.3.2.	Сосудистая проницаемость (1-2)
1.4.2.1.2.3.4.	Регуляторные механизмы (2-3)
1.4.2.1.2.3.4.1.	Молекулярный контроль (1-1)
1.4.2.1.2.3.4.2.	Гормональная регуляция (1-2)
1.4.2.2.	Активированные функциональные состояния (80-100)
1.4.2.2.1.	Стрессовый ответ (50-60)
1.4.2.2.1.1.	Метаболическая активация (20-20)
1.4.2.2.1.1.1.	Энергетический метаболизм (6-6)
1.4.2.2.1.1.1.1.	Интенсификация гликолиза (2-2)
1.4.2.2.1.1.1.2.	Усиление окислительного фосфорилирования (2-2)
1.4.2.2.1.1.1.3.	Альтернативные энергетические пути (2-2)
1.4.2.2.1.1.2.	Субстратная мобилизация (5-5)
1.4.2.2.1.1.2.1.	Мобилизация углеводных резервов (2-2)
1.4.2.2.1.1.2.2.	Активация липидного метаболизма (2-2)
1.4.2.2.1.1.2.3.	Белковая мобилизация (1-1)
1.4.2.2.1.1.3.	Биосинтетические процессы (4-5)
1.4.2.2.1.1.3.1.	Усиление белкового синтеза (2-2)
1.4.2.2.1.1.3.2.	Активация репликативных процессов (2-3)
1.4.2.2.1.1.4.	Регуляторные механизмы (4-4)
1.4.2.2.1.1.4.1.	Гормональная регуляция (2-2)
1.4.2.2.1.1.4.2.	Внутриклеточная сигнализация (2-2)
1.4.2.2.1.2.	Функциональная перестройка (15-20)
1.4.2.2.1.2.1.	Метаболические перестройки (6-8)
1.4.2.2.1.2.1.1.	Энергетический метаболизм (2-3)
1.4.2.2.1.2.1.1.1.	Перераспределение энергетических ресурсов (1-1)
1.4.2.2.1.2.1.1.2.	Модификация метаболических путей (1-2)
1.4.2.2.1.2.1.2.	Биосинтетические перестройки (2-3)
1.4.2.2.1.2.1.2.1.	Изменение белкового синтеза (1-1)
1.4.2.2.1.2.1.2.2.	Модификация ферментативной активности (1-2)
1.4.2.2.1.2.2.	Структурно-функциональные адаптации (5-7)
1.4.2.2.1.2.2.1.	Клеточные реорганизации (2-3)
1.4.2.2.1.2.2.1.1.	Морфологические трансформации (1-1)
1.4.2.2.1.2.2.1.2.	Изменение клеточной рецепции (1-2)
1.4.2.2.1.2.2.2.	Межклеточные взаимодействия (3-4)
1.4.2.2.1.2.2.2.1.	Передислокация межклеточных коммуникаций (1-2)
1.4.2.2.1.2.2.2.2.	Реконфигурация сигнальных путей (2-2)
1.4.2.2.1.2.3.	Регуляторные механизмы (4-5)
1.4.2.2.1.2.3.1.	Нейроэндокринная регуляция (2-3)
1.4.2.2.1.2.3.1.1.	Гормональная перестройка (1-1)
1.4.2.2.1.2.3.1.2.	Нейромедиаторная модификация (1-2)
1.4.2.2.1.2.3.2.	Иммунорегуляторные изменения (2-2)
1.4.2.2.1.2.3.2.1.	Репрограммирование иммунного ответа (1-1)
1.4.2.2.1.2.3.2.2.	Модуляция воспалительных реакций (1-1)
1.4.2.2.1.3.	Защитные механизмы (15-20)
1.4.2.2.1.3.1.	Клеточная протекция (6-8)
1.4.2.2.1.3.1.1.	Антиоксидантная защита (2-3)
1.4.2.2.1.3.1.1.1.	Нейтрализация свободных радикалов (1-1)
1.4.2.2.1.3.1.1.2.	Восстановление окислительного баланса (1-2)
1.4.2.2.1.3.1.2.	Репарационные механизмы (2-3)
1.4.2.2.1.3.1.2.1.	Восстановление ДНК (1-1)
1.4.2.2.1.3.1.2.2.	Протеолитическая коррекция (1-2)
1.4.2.2.1.3.2.	Иммунные стратегии (5-7)
1.4.2.2.1.3.2.1.	Врожденный иммунитет (2-3)
1.4.2.2.1.3.2.1.1.	Активация фагоцитоза (1-1)
1.4.2.2.1.3.2.1.2.	Противовоспалительная регуляция (1-2)
1.4.2.2.1.3.2.2.	Адаптивный иммунный ответ (3-4)
1.4.2.2.1.3.2.2.1.	Клеточная селекция (1-2)
1.4.2.2.1.3.2.2.2.	Антителообразование (2-2)
1.4.2.2.1.3.3.	Системные протективные реакции (4-5)
1.4.2.2.1.3.3.1.	Нейроэндокринная регуляция защиты (2-3)
1.4.2.2.1.3.3.1.1.	Стресс-протективные механизмы (1-1)
1.4.2.2.1.3.3.1.2.	Гормональная модуляция иммунитета (1-2)
1.4.2.2.1.3.3.2.	Метаболическая адаптация (2-2)
1.4.2.2.1.3.3.2.1.	Мобилизация энергетических ресурсов (1-1)
1.4.2.2.1.3.3.2.2.	Синтез защитных метаболитов (1-1)
1.4.2.2.2.	Адаптивные изменения (30-40)
1.4.2.2.2.1.	Функциональная адаптация (10-15)
1.4.2.2.2.1.1.	Метаболические перестройки (6-8 единиц)
1.4.2.2.2.1.2.	Структурно-функциональные адаптации (5-7 единиц)
1.4.2.2.2.1.3.	Регуляторные механизмы (4-5 единиц)
1.4.2.2.2.2.	Структурная перестройка (10-15)
1.4.2.2.2.2.1.	Физиологическая реконфигурация (4-6 единиц)
1.4.2.2.2.2.2.	Нейрональная пластичность (3-4 единицы)
1.4.2.2.2.2.3.	Метаболические адаптационные стратегии (3-5 единиц)
1.4.2.2.2.3.	Компенсаторные механизмы (10-10)
1.4.2.2.2.3.1.	Структурно-функциональная компенсация (4-4)
1.4.2.2.2.3.1.1.	Тканевая реорганизация (2-2)
1.4.2.2.2.3.1.1.1.	Гиперплазия функционально активных тканей
1.4.2.2.2.3.1.1.2.	Регенеративная гиперактивность
1.4.2.2.2.3.1.2.	Органная субституция (2-2)
1.4.2.2.2.3.1.2.1.	Функциональное замещение поврежденных структур
1.4.2.2.2.3.1.2.2.	Перераспределение функциональной нагрузки
1.4.2.2.2.3.2.	Метаболические компенсаторные стратегии (3-3)
1.4.2.2.2.3.2.1.	Энергетическая реаллокация (2-2)
1.4.2.2.2.3.2.1.1.	Мобилизация резервных метаболических путей
1.4.2.2.2.3.2.1.2.	Оптимизация энергетического обмена
1.4.2.2.2.3.2.2.	Субстратная адаптация (1-1)
1.4.2.2.2.3.2.2.1.	Перестройка метаболических маршрутов
1.4.2.2.2.3.3.	Нейрорегуляторная компенсация (3-3)
1.4.2.2.2.3.3.1.	Нейропластическая реорганизация (2-2)
1.4.2.2.2.3.3.1.1.	Формирование новых нейронных сетей
1.4.2.2.2.3.3.1.2.	Реконфигурация нейронных контуров
1.4.2.2.2.3.3.2.	Нейромедиаторная модуляция (1-1)
1.4.2.2.2.3.3.2.1.	Адаптивная перестройка нейромедиаторных систем
2.	Периодические аттракторы (всего: 100-135)
2.1.	Быстрые ритмы (45-60)
2.1.1.	Нейронные ритмы (25-35)
2.1.1.1.	Кортикальные ритмы (15-20)
2.1.1.1.1.	Альфа-ритм (5-7)
2.1.1.1.1.1.	Затылочный альфа-компонент (2-3)
2.1.1.1.1.1.1.	Покоящийся визуальный аттрактор
2.1.1.1.1.1.2.	Сенсорный фильтрационный аттрактор
2.1.1.1.1.1.3.	Когнитивный модуляционный аттрактор
2.1.1.1.1.2.	Центральный альфа-компонент (2-2)
2.1.1.1.1.2.1.	Моторный релаксационный аттрактор
2.1.1.1.1.2.2.	Сенсомоторный интеграционный аттрактор
2.1.1.1.1.2.3.	Когнитивный стабилизационный аттрактор
2.1.1.1.1.3.	Фронтальный альфа-компонент (1-2)
2.1.1.1.1.3.1.	Префронтальный регуляторный аттрактор
2.1.1.1.1.3.2.	Исполнительный модуляционный аттрактор
2.1.1.1.1.3.3.	Когнитивного торможения аттрактор
2.1.1.1.2.	Бета-ритм (5-7)
2.1.1.1.2.1.	Сенсомоторный бета-компонент (2-3)
2.1.1.1.2.1.1.	Моторный праймирующий аттрактор
2.1.1.1.2.1.2.	Сенсорный интеграционный аттрактор
2.1.1.1.2.1.3.	Проприоцептивный модуляционный аттрактор
2.1.1.1.2.2.	Когнитивный бета-компонент (2-2)
2.1.1.1.2.2.1.	Внимательный селективный аттрактор
2.1.1.1.2.2.2.	Рабочемоторный процессинговый аттрактор
2.1.1.1.2.2.3.	Когнитивный синхронизационный аттрактор
2.1.1.1.2.3.	Эмоциональный бета-компонент (1-2)
2.1.1.1.2.3.1.	Эмоционально-резонансный аттрактор
2.1.1.1.2.3.2.	Аффективный модуляционный аттрактор
2.1.1.1.2.3.3.	Эмоционально-когнитивный интеграционный аттрактор
2.1.1.1.3.	Гамма-ритм (5-6)
2.1.1.1.3.1.	Перцептивный гамма-компонент (2-2)
2.1.1.1.3.1.1.	Сенсорный консолидационный аттрактор
2.1.1.1.3.1.2.	Перцептивной интеграции аттрактор
2.1.1.1.3.1.3.	Детекционный аналитический аттрактор
2.1.1.1.3.2.	Ассоциативный гамма-компонент (2-2)
2.1.1.1.3.2.1.	Когнитивной связности аттрактор
2.1.1.1.3.2.2.	Межмодальной интеграции аттрактор
2.1.1.1.3.2.3.	Семантической обработки аттрактор
2.1.1.1.3.3.	Интегративный гамма-компонент (1-2)
2.1.1.1.3.3.1.	Нейронной синхронизации аттрактор
2.1.1.1.3.3.2.	Информационной конвергенции аттрактор
2.1.1.1.3.3.3.	Глобального нейронного связывания аттрактор
2.1.1.2.	Субкортикальные ритмы (10-15)
2.1.1.2.1.	Таламические (5-8)
2.1.1.2.1.1.	Спайк-волновые паттерны (2-3)
2.1.1.2.1.1.1.	Нейронной осцилляции аттрактор
2.1.1.2.1.1.2.	Синаптической синхронизации аттрактор
2.1.1.2.1.1.3.	Электрической когерентности аттрактор
2.1.1.2.1.2.	Пачечная активность (2-3)
2.1.1.2.1.2.1.	Нейронного группирования аттрактор
2.1.1.2.1.2.2.	Импульсной кластеризации аттрактор
2.1.1.2.1.2.3.	Ритмической консолидации аттрактор
2.1.1.2.1.3.	Тонические разряды (1-2)
2.1.1.2.1.3.1.	Нейронного тонуса аттрактор
2.1.1.2.1.3.2.	Электрической стабильности аттрактор
2.1.1.2.1.3.3.	Базального напряжения аттрактор
2.1.1.2.2.	Стволовые ритмы (5-7)
2.1.1.2.2.1.	Респираторные паттерны (2-3)
2.1.1.2.2.1.1.	Дыхательной синхронизации аттрактор
2.1.1.2.2.1.2.	Нейронного дыхательного контроля аттрактор
2.1.1.2.2.1.3.	Ритмической вентиляции аттрактор
2.1.1.2.2.2.	Кардиоваскулярные паттерны (2-2)
2.1.1.2.2.2.1.	Сердечного ритма аттрактор
2.1.1.2.2.2.2.	Сосудистой пульсации аттрактор
2.1.1.2.2.2.3.	Гемодинамической регуляции аттрактор
2.1.1.2.2.3.	Ретикулярные паттерны (1-2)
2.1.1.2.2.3.1.	Активационного контроля аттрактор
2.1.1.2.2.3.2.	Нейронной возбудимости аттрактор
2.1.1.2.2.3.3.	Сознательного торможения аттрактор
2.1.2.	Мышечные ритмы (20-25)
2.1.2.1.	Скелетно-мышечные ритмы (12-15)
2.1.2.1.1.	Тремор (6-8)
2.1.2.1.1.1.	Постуральный компонент (2-3)
2.1.2.1.1.1.1.	Тремор альфа-мотонейронов при статической позе
2.1.2.1.1.1.2.	Осцилляции мышечных веретен при поддержании позы
2.1.2.1.1.1.3.	Тремор вестибуло-спинального контура регуляции
2.1.2.1.1.2.	Кинетический компонент (2-3)
2.1.2.1.1.2.1.	Фазовый тремор при инициации движения
2.1.2.1.1.2.2.	Осцилляции моторных программ при баллистических движениях
2.1.2.1.1.2.3.	Тремор обратной связи при коррекции траектории движения
2.1.2.1.1.3.	Изометрический компонент (2-2)
2.1.2.1.1.3.1.	Тремор синхронизации двигательных единиц
2.1.2.1.1.3.2.	Осцилляции силового градиента мышечного сокращения
2.1.2.1.2.	Локомоторные (6-7)
2.1.2.1.2.1.	Флексорная активность (2-3)
2.1.2.1.2.1.1.	Осцилляции центрального генератора паттерна сгибания
2.1.2.1.2.1.2.	Тремор реципрокной иннервации флексоров
2.1.2.1.2.1.3.	Ритм модуляции флексорного тонуса
2.1.2.1.2.2.	Экстензорная активность (2-2)
2.1.2.1.2.2.1.	Осцилляции центрального генератора паттерна разгибания
2.1.2.1.2.2.2.	Тремор постуральной стабилизации при разгибании
2.1.2.1.2.3.	Координационные паттерны (2-2)
2.1.2.1.2.3.1.	Осцилляции межконечностной координации
2.1.2.1.2.3.2.	Тремор фазовой синхронизации движений
2.1.2.2.	Висцеральные ритмы (8-10)
2.1.2.2.1.	Перистальтические (4-5)
2.1.2.2.1.1.	Пропульсивные волны (1-2)
2.1.2.2.1.1.1.	Осцилляции мышечного комплекса пищевода
2.1.2.2.1.1.2.	Тремор перистальтической волны желудка
2.1.2.2.1.2.	Сегментарные сокращения (2-2)
2.1.2.2.1.2.1.	Ритм сегментарной моторики тонкого кишечника
2.1.2.2.1.2.2.	Осцилляции маятникообразных движений кишечника
2.1.2.2.1.3.	Тонические осцилляции (1-1)
2.1.2.2.1.3.1.	Ритм базального тонуса гладкой мускулатуры
2.1.2.2.2.	Сосудистые (4-5)
2.1.2.2.2.1.	Вазомоторные волны (1-2)
2.1.2.2.2.1.1.	Осцилляции симпатической вазоконстрикции
2.1.2.2.2.1.2.	Ритм эндотелиальной вазодилатации
2.1.2.2.2.2.	Капиллярные осцилляции (2-2)
2.1.2.2.2.2.1.	Ритм прекапиллярных сфинктеров
2.1.2.2.2.2.2.	Осцилляции капиллярного кровотока
2.1.2.2.2.3.	Лимфатическая пульсация (1-1)
2.1.2.2.2.3.1.	Ритм лимфатических сосудов
2.2.	 Средние ритмы (35-45)
2.2.1.	Секреторные циклы (20-25)
2.2.1.1.	Эндокринные циклы (12-15)
2.2.1.1.1.	Суточные гормональные (7-8)
2.2.1.1.1.1.	Кортикостероидные осцилляции (3-3)
2.2.1.1.1.1.1.	Ритм секреции кортизола
2.2.1.1.1.1.2.	Осцилляции альдостерона
2.2.1.1.1.1.3.	Ритм секреции кортикотропина
2.2.1.1.1.2.	Тиреоидные колебания (2-3)
2.2.1.1.1.2.1.	Ритм секреции тиреотропина
2.2.1.1.1.2.2.	Осцилляции тироксина
2.2.1.1.1.2.3.	Ритм трийодтиронина
2.2.1.1.1.3.	Соматотропные пульсации (2-2)
2.2.1.1.1.3.1.	Ритм секреции гормона роста
2.2.1.1.1.3.2.	Осцилляции соматомединов
2.2.1.1.2.	Пульсовые гормональные (5-7)
2.2.1.1.2.1.	Гипофизарные пульсации (2-3)
2.2.1.1.2.1.1.	Ритм секреции пролактина
2.2.1.1.2.1.2.	Осцилляции вазопрессина
2.2.1.1.2.1.3.	Ритм окситоцина
2.2.1.1.2.2.	Инсулярные осцилляции (2-2)
2.2.1.1.2.2.1.	Ритм секреции инсулина
2.2.1.1.2.2.2.	Осцилляции глюкагона
2.2.1.1.2.3.	Паратиреоидные ритмы (1-2)
2.2.1.1.2.3.1.	Ритм паратгормона
2.2.1.1.2.3.2.	Осцилляции кальцитонина
2.2.1.2.	Экзокринные циклы (8-10)
2.2.1.2.1.	Пищеварительные (4-5)
2.2.1.2.1.1.	Желудочная периодика (1-2)
2.2.1.2.1.1.1.	Ритм секреции соляной кислоты
2.2.1.2.1.1.2.	Осцилляции пепсиногена
2.2.1.2.1.2.	Панкреатические волны (2-2)
2.2.1.2.1.2.1.	Ритм амилазы
2.2.1.2.1.2.2.	Осцилляции липазы
2.2.1.2.1.3.	Кишечные секреции (1-1)
2.2.1.2.1.3.1.	Ритм энтерокиназы
2.2.1.2.2.	Потовые (4-5)
2.2.1.2.2.1.	Терморегуляторные циклы (2-2)
2.2.1.2.2.1.1.	Ритм эккринных желез
2.2.1.2.2.1.2.	Осцилляции потоотделения
2.2.1.2.2.2.	Психогенные осцилляции (1-2)
2.2.1.2.2.2.1.	Ритм апокринных желез
2.2.1.2.2.2.2.	Осцилляции эмоциогенного потоотделения
2.2.1.2.2.3.	Базальная активность (1-1)
2.2.1.2.2.3.1.	Ритм фоновой секреции
2.2.2.	Метаболические циклы (15-20)
2.2.2.1.	Энергетические циклы (8-10)
2.2.2.1.1.	Глюкозный обмен (4-5)
2.2.2.1.1.1.	Гликемические волны (2-2)
2.2.2.1.1.1.1.	Ритм постпрандиальной гликемии
2.2.2.1.1.1.2.	Осцилляции базальной гликемии
2.2.2.1.1.2.	Инсулин-зависимые осцилляции (1-2)
2.2.2.1.1.2.1.	Ритм гликогенолиза
2.2.2.1.1.2.2.	Осцилляции гликогенеза
2.2.2.1.1.3.	Контринсулярные ритмы (1-1)
2.2.2.1.1.3.1.	Ритм глюконеогенеза
2.2.2.1.2.	Липидный обмен (4-5)
2.2.2.1.2.1.	Липолитические циклы (2-2)
2.2.2.1.2.1.1.	Ритм липолиза
2.2.2.1.2.1.2.	Осцилляции β-окисления
2.2.2.1.2.2.	Кетогенные осцилляции (1-2)
2.2.2.1.2.2.1.	Ритм кетогенеза
2.2.2.1.2.2.2.	Осцилляции кетолиза
2.2.2.1.2.3.	Липогенные ритмы (1-1)
2.2.2.1.2.3.1.	Ритм липогенеза
2.2.2.2.	Пластические циклы (7-10)
2.2.2.2.1.	Белковый обмен (4-5)
2.2.2.2.1.1.	Протеосинтетические волны (2-2)
2.2.2.2.1.1.1.	Ритм трансляции белков
2.2.2.2.1.1.2.	Осцилляции фолдинга белков
2.2.2.2.1.2.	Протеолитические циклы (1-2)
2.2.2.2.1.2.1.	Ритм убиквитин-зависимого протеолиза
2.2.2.2.1.2.2.	Осцилляции лизосомального протеолиза
2.2.2.2.1.3.	Аминокислотные осцилляции (1-1)
2.2.2.2.1.3.1.	Ритм аминокислотного пула
2.2.2.2.2.	Минеральный обмен (3-5)
2.2.2.2.2.1.	Кальций-фосфорные ритмы (1-2)
2.2.2.2.2.1.1.	Ритм кальциевого гомеостаза
2.2.2.2.2.1.2.	Осцилляции фосфатного обмена
2.2.2.2.2.2.	Натрий-калиевые циклы (1-2)
2.2.2.2.2.2.1.	Ритм натриевого транспорта
2.2.2.2.2.2.2.	Осцилляции калиевого обмена
2.2.2.2.2.3.	Микроэлементные колебания (1-1)
2.2.2.2.2.3.1.	Ритм метаболизма микроэлементов
2.2.2.2.2.4.	Водный баланс (5-7)
2.2.2.2.2.4.1.	Вазопрессиновые осцилляции (2-3)
2.2.2.2.2.4.2.	Осмотические циклы (2-2)
2.2.2.2.2.4.3.	Гидратационные паттерны (1-2)
2.3.	 Медленные ритмы (20-30)
2.3.1.	Циркадные ритмы (12-18)
2.3.1.1.	Поведенческие циркадные ритмы (7-10)
2.3.1.1.1.	Сон-бодрствование (4-5)
2.3.1.1.1.1.	Ультрадианные компоненты (2-2)
2.3.1.1.1.1.1.	Базовый ультрадианный ритм (90-минутный цикл) 
2.3.1.1.1.1.2.	Циклы быстрого сна 
2.3.1.1.1.1.2.1.	Пико-волновые осцилляции ствола мозга
2.3.1.1.1.1.2.2.	Понто-геникуло-окципитальные волны
2.3.1.1.1.1.2.3.	Тета-ритм гиппокампа
2.3.1.1.1.2.	Циклы медленного сна 
2.3.1.1.1.2.1.	Сонные веретена
2.3.1.1.1.2.2.	Дельта-осцилляции
2.3.1.1.1.2.3.	Медленные (<1 Гц) колебания
2.3.1.1.1.3.	Циркадианные компоненты (1-2)
2.3.1.1.1.3.1.	Суточная ритмика супрахиазматических ядер
2.3.1.1.1.3.2.	Ритм секреции мелатонина
2.3.1.1.1.3.3.	Циркадианные колебания температуры тела
2.3.1.1.1.4.	Инерционные процессы (1-1)
2.3.1.1.1.4.1.	Гомеостатические колебания
2.3.1.1.1.4.2.	Ритм накопления/расходования фактора сна
2.3.1.1.1.4.3.	Циклы восстановления синаптической пластичности
2.3.1.1.2.	Пищевое поведение (3-5)
2.3.1.1.2.1.	Периоды активности (1-2)
